TIME_PERIOD,percentage
2024-03,2.8
2024-04,2.8
2024-05,2.8
2024-06,2.8
2024-07,2.6
2024-08,2.5
2024-09,2.5
2024-10,2.7
2024-11,2.7
2024-12,3.7
2024-01,7.8
2024-02,7.7
2024-05,8.3
2024-06,8.3
2024-07,8.5
2024-09,8.7
2024-12,8.7
2024-01,3.2
2024-02,3.3
2024-03,3.3
2024-04,3.4
2024-05,3.4
2024-06,3.4
2024-07,3.4
2024-08,3.4
2024-09,3.4
2024-10,3.4
2024-12,3.5
2024-04,6.4
2024-08,6.3
2024-09,6.5
2024-10,6.6
2024-11,6.6
2024-01,7.1
2024-02,7.3
2024-03,6.9
2024-04,6.8
2024-05,6.6
2024-06,6.7
2024-07,6.4
2024-08,6.3
2024-09,6.1
2024-10,6.1
2024-12,6.4
2024-01,6.6
2024-02,6.6
2024-03,6.5
2024-04,6.4
2024-05,6.4
2024-06,6.4
2024-07,6.4
2024-08,6.3
2024-09,6.3
2024-11,6.2
2024-12,6.3
2024-02,2.5
2024-03,3
2024-04,2.8
2024-05,2.7
2024-06,2.8
2024-08,2.5
2024-09,3
2024-11,2.6
2024-12,2.8
2024-01,4.9
2024-02,4.7
2024-03,5
2024-04,5
2024-05,5.2
2024-06,5.2
2024-07,5.1
2024-08,5.3
2024-09,5.6
2024-10,5.6
2024-11,5.1
2024-12,5.4
2024-01,4.3
2024-02,4.3
2024-03,4.3
2024-04,4.3
2024-05,4.3
2024-06,4.3
2024-07,4.3
2024-08,4.4
2024-09,4.5
2024-10,4.5
2024-11,4.5
2024-12,4.4
2024-01,2.9
2024-02,2.9
2024-03,2.8
2024-04,2.8
2024-05,2.9
2024-07,3
2024-09,3
2024-10,2.8
2024-11,2.8
2024-12,2.8
2024-01,7.4
2024-02,7.4
2024-03,7.3
2024-04,7.3
2024-05,7.2
2024-06,7.1
2024-07,7.5
2024-08,7.5
2024-09,7.2
2024-10,6.9
2024-11,6.5
2024-12,6.4
2024-01,5.6
2024-02,5.5
2024-03,5.5
2024-04,5.4
2024-05,5.4
2024-06,5.4
2024-07,5.3
2024-08,5.3
2024-09,5.3
2024-10,5.2
2024-11,5.2
2024-12,5.2
2024-01,11.6
2024-02,11.6
2024-03,10.8
2024-04,10.8
2024-06,8.9
2024-08,9.5
2024-10,9.7
2024-12,9.3
2024-01,3.3
2024-02,3.3
2024-03,3.3
2024-07,4.2
2024-01,6.1
2024-02,6.1
2024-03,6
2024-04,6
2024-05,6
2024-06,6
2024-07,6
2024-08,5.9
2024-09,5.9
2024-10,5.8
2024-11,5.8
2024-12,5.9
2024-01,5.5
2024-02,5.4
2024-03,5.3
2024-04,5.2
2024-06,5.1
2024-07,5.1
2024-08,5
2024-09,5
2024-10,4.9
2024-01,6.9
2024-02,6.9
2024-03,6.9
2024-06,6.9
2024-07,6.8
2024-08,6.9
2024-09,6.8
2024-11,7
2024-12,7
2024-01,4.6
2024-02,4.7
2024-04,4.3
2024-06,4
2024-07,4
2024-08,4
2024-09,4
2024-10,4.1
2024-11,4
2024-12,3.8
2024-01,7.4
2024-02,7.5
2024-03,7.5
2024-04,7.5
2024-05,7.5
2024-06,7.6
2024-07,7.9
2024-08,7.7
2024-09,8.1
2024-11,7.5
2024-12,7.8
2024-01,5.4
2024-02,5.2
2024-03,5.2
2024-04,5.2
2024-05,5.3
2024-06,5.2
2024-07,5.7
2024-08,5.7
2024-09,5.7
2024-10,5.7
2024-11,5.6
2024-12,5.7
2024-01,9.1
2024-02,8.6
2024-03,8.8
2024-04,8.6
2024-06,9.1
2024-07,9
2024-08,8.5
2024-09,8.6
2024-11,8.5
2024-01,3.6
2024-03,3.5
2024-04,3.4
2024-05,3.3
2024-08,3.3
2024-09,3.4
2024-09,5.7
2024-01,3
2024-10,2.6
2024-10,7.5
2024-03,8.5
2024-04,8.4
2024-10,8.8
2024-06,7.4
2024-05,10.5
2024-07,9.7
2024-09,9.6
2024-12,4.5
2024-12,6.5
2024-10,4.1
2024-06,2.9
2024-08,3
2024-01,7.8
2024-09,8.7
2024-10,8.2
2024-03,4.6
2024-05,4.1
2024-05,5.1
2024-11,5
2024-04,3.4
2024-05,3.6
2024-06,3.9
2024-08,4.2
2024-09,4.1
2024-10,3.8
2024-11,3.5
2024-12,3.5
2024-01,6.4
2024-02,6.5
2024-03,6.4
2024-05,6.5
2024-06,6.5
2024-07,6.5
2024-12,6.4
2024-07,2.6
2024-10,5.8
2024-11,3.4
2024-11,9.7
2024-11,6.2
2024-04,7
2024-05,7
2024-10,6.9
2024-11,3.8
2024-10,6.2
2024-12,4.9
2024-02,3.6
2024-06,3.3
2024-07,3.3
2024-10,3.5
2024-11,3.6
2024-12,3.7
2024-01,2.738496
2024-02,2.532255
2024-03,2.628206
2024-04,2.715066
2024-05,2.651781
2024-06,2.764375
2024-07,2.727255
2024-08,2.780654
2024-09,2.694152
2024-10,2.488967
2024-11,2.70157
2024-12,2.636923
2024-01,3.348473
2024-02,3.238188
2024-03,3.300855
2024-04,3.308868
2024-05,3.247186
2024-06,3.078989
2024-07,2.672748
2024-08,2.631627
2024-09,2.780494
2024-10,2.658797
2024-11,2.743286
2024-12,2.736097
2024-12,8.4
2024-08,8.3
2024-11,8.8
2024-01,4.5
2024-05,3.9
2024-01,4.108206
2024-02,4.240617
2024-03,4.230745
2024-04,4.233105
2024-05,4.245217
2024-06,4.314551
2024-07,4.351325
2024-08,4.334303
2024-09,4.256122
2024-10,4.298074
2024-11,4.353101
2024-12,4.319048
2024-01,10.461
2024-02,10.67065
2024-03,11.18309
2024-04,10.3838
2024-05,10.05197
2024-06,10.39204
2024-07,9.848291
2024-08,9.98824
2024-09,9.684568
2024-10,10.02303
2024-11,9.407409
2024-12,9.815566
2024-05,8.4
2024-10,8.8
2024-01,7.809819
2024-02,7.806551
2024-03,7.899218
2024-04,8.50918
2024-05,8.507929
2024-06,7.809357
2024-07,6.745089
2024-08,6.605396
2024-09,6.998361
2024-10,7.260353
2024-11,6.879961
2024-12,6.981987
2024-01,8.62327
2024-02,8.453308
2024-03,8.370914
2024-04,8.239285
2024-05,8.314523
2024-06,8.507236
2024-07,8.710237
2024-08,8.621314
2024-09,8.529147
2024-10,8.363559
2024-11,8.472259
2024-12,8.345535
2024-01,4.094409
2024-02,3.735744
2024-03,3.881457
2024-04,4.111099
2024-05,3.998844
2024-06,4.043179
2024-07,4.207869
2024-08,4.135025
2024-09,4.022566
2024-10,4.091923
2024-11,3.936904
2024-12,3.969983
2024-01,4.89088
2024-02,4.900879
2024-03,4.941116
2024-04,4.917142
2024-05,4.894418
2024-06,4.974585
2024-07,4.971156
2024-08,4.929469
2024-09,4.878836
2024-10,4.889862
2024-11,4.896014
2024-12,4.932786
